index,host,destination,start_timestamp,end_timestamp,nbytes_size,total_time
53.0,194.171.96.184,194.171.101.190,2016-05-05T00:07:57.546Z,2016-05-05T00:07:54.109Z,1433474839.0,3.437
54.0,194.171.96.182,131.154.130.109,2016-05-05T00:08:17.862Z,2016-05-05T00:06:56.034Z,3490280851.0,81.828
55.0,194.171.96.173,131.154.130.109,2016-05-05T00:08:08.998Z,2016-05-05T00:06:56.237Z,3544298516.0,72.761
56.0,194.171.96.182,130.246.47.192,2016-05-05T00:08:23.796Z,2016-05-05T00:07:11.489Z,3636460822.0,72.307
57.0,194.171.96.217,192.170.227.123,2016-05-05T00:08:29.770Z,2016-05-05T00:08:17.962Z,706719783.0,11.808
58.0,194.171.96.177,131.154.130.99,2016-05-05T00:08:39.250Z,2016-05-05T00:06:57.718Z,3493212711.0,101.532
59.0,194.171.96.202,194.171.101.155,2016-05-05T00:08:38.710Z,2016-05-05T00:08:25.920Z,4163056880.0,12.79
60.0,194.171.96.208,194.171.101.190,2016-05-05T00:08:40.800Z,2016-05-05T00:08:30.644Z,4175220398.0,10.156
61.0,194.171.96.187,194.171.100.37,2016-05-05T00:08:52.492Z,2016-05-05T00:08:34.438Z,2695082559.0,18.054
62.0,194.171.96.208,194.171.101.159,2016-05-05T00:09:13.227Z,2016-05-05T00:08:59.558Z,4173345279.0,13.669
63.0,194.171.96.204,194.171.101.155,2016-05-05T00:09:26.835Z,2016-05-05T00:09:16.485Z,4185361072.0,10.35
64.0,194.171.96.179,194.171.100.31,2016-05-05T00:09:29.312Z,2016-05-05T00:09:03.161Z,4150028744.0,26.151
65.0,194.171.96.179,194.171.101.159,2016-05-05T00:09:55.118Z,2016-05-05T00:09:39.099Z,4177492270.0,16.019
67.0,194.171.96.175,194.171.101.159,2016-05-05T00:10:17.039Z,2016-05-05T00:10:06.417Z,2667303740.0,10.622
68.0,194.171.96.207,194.171.101.162,2016-05-05T00:10:28.298Z,2016-05-05T00:10:26.874Z,708711755.0,1.424
69.0,194.171.96.202,194.171.101.162,2016-05-05T00:10:40.046Z,2016-05-05T00:10:33.157Z,2645894251.0,6.889
70.0,194.171.96.180,150.244.246.5,2016-05-05T00:10:53.152Z,2016-05-05T00:06:18.826Z,3567276801.0,274.326
71.0,194.171.96.174,194.171.100.211,2016-05-05T00:11:02.062Z,2016-05-05T00:11:01.771Z,64038.0,0.291
72.0,194.171.96.203,194.171.101.157,2016-05-05T00:11:02.358Z,2016-05-05T00:10:52.598Z,4164170210.0,9.76
73.0,194.171.96.186,192.41.230.29,2016-05-05T00:11:00.375Z,2016-05-05T00:06:06.813Z,3647225731.0,293.562
74.0,194.171.96.207,194.171.101.162,2016-05-05T00:11:14.766Z,2016-05-05T00:11:06.798Z,4197405992.0,7.968
75.0,194.171.96.173,150.244.244.96,2016-05-05T00:11:09.690Z,2016-05-05T00:06:28.328Z,3578488290.0,281.362
77.0,194.171.96.176,150.244.244.96,2016-05-05T00:11:20.773Z,2016-05-05T00:06:21.160Z,3582754012.0,299.613
78.0,194.171.96.209,150.214.37.139,2016-05-05T00:11:29.646Z,2016-05-05T00:11:29.612Z,429537.0,0.034
79.0,194.171.96.203,194.171.101.162,2016-05-05T00:11:29.013Z,2016-05-05T00:11:26.021Z,1432031398.0,2.992
80.0,194.171.96.176,194.171.100.211,2016-05-05T00:11:37.181Z,2016-05-05T00:11:36.942Z,79459.0,0.239
81.0,194.171.96.203,150.214.37.139,2016-05-05T00:11:55.064Z,2016-05-05T00:11:55.039Z,434171.0,0.025
82.0,194.171.96.202,150.214.37.139,2016-05-05T00:12:07.358Z,2016-05-05T00:12:07.328Z,425620.0,0.03
83.0,194.171.96.178,194.171.101.162,2016-05-05T00:12:06.857Z,2016-05-05T00:11:55.831Z,4181659010.0,11.026
84.0,194.171.96.217,192.41.230.23,2016-05-05T00:12:03.555Z,2016-05-05T00:06:13.885Z,3582818094.0,349.67
85.0,194.171.96.206,150.214.37.139,2016-05-05T00:12:01.160Z,2016-05-05T00:12:01.114Z,452925.0,0.046
86.0,194.171.96.181,194.171.101.188,2016-05-05T00:12:12.371Z,2016-05-05T00:12:01.374Z,4187197484.0,10.997
87.0,194.171.96.181,150.244.244.207,2016-05-05T00:12:16.176Z,2016-05-05T00:06:19.209Z,3601564435.0,356.967
88.0,194.171.96.209,194.171.100.31,2016-05-05T00:12:18.537Z,2016-05-05T00:12:08.674Z,4108656994.0,9.863
89.0,194.171.96.185,192.41.230.29,2016-05-05T00:12:37.142Z,2016-05-05T00:06:00.565Z,3621204140.0,396.577
90.0,194.171.96.184,150.244.246.7,2016-05-05T00:12:44.542Z,2016-05-05T00:06:27.224Z,3578925100.0,377.318
91.0,194.171.96.179,194.171.101.146,2016-05-05T00:12:50.452Z,2016-05-05T00:12:49.346Z,705096825.0,1.106
92.0,194.171.96.209,194.171.100.49,2016-05-05T00:12:49.937Z,2016-05-05T00:12:00.154Z,4148427106.0,49.783
93.0,194.171.96.204,194.171.101.195,2016-05-05T00:12:58.573Z,2016-05-05T00:12:54.686Z,1452507034.0,3.887
94.0,194.171.96.203,194.171.101.188,2016-05-05T00:13:09.894Z,2016-05-05T00:13:01.170Z,4236723073.0,8.724
95.0,194.171.96.182,194.171.101.162,2016-05-05T00:13:02.912Z,2016-05-05T00:12:48.291Z,4113862937.0,14.621
96.0,194.171.96.173,192.41.230.29,2016-05-05T00:13:01.842Z,2016-05-05T00:06:06.429Z,3630784059.0,415.413
97.0,194.171.96.209,194.171.100.211,2016-05-05T00:13:13.001Z,2016-05-05T00:12:45.600Z,10126946082.0,27.401
98.0,194.171.96.207,194.171.101.131,2016-05-05T00:13:06.958Z,2016-05-05T00:12:59.370Z,2664736561.0,7.588
99.0,194.171.96.182,194.171.101.162,2016-05-05T00:13:31.028Z,2016-05-05T00:13:11.865Z,2671669540.0,19.163
100.0,194.171.96.210,194.171.101.195,2016-05-05T00:13:42.148Z,2016-05-05T00:13:31.509Z,4128828025.0,10.639
101.0,194.171.96.191,194.171.101.132,2016-05-05T00:13:50.476Z,2016-05-05T00:13:50.218Z,11793392.0,0.258
102.0,194.171.96.203,195.195.125.1,2016-05-05T00:13:42.624Z,2016-05-05T00:13:40.205Z,6989359.0,2.419
103.0,194.171.96.205,194.171.101.131,2016-05-05T00:13:51.393Z,2016-05-05T00:13:40.391Z,4179581518.0,11.002
104.0,194.171.96.216,194.171.100.15,2016-05-05T00:13:54.052Z,2016-05-05T00:13:52.303Z,1719643180.0,1.749
105.0,194.171.96.175,150.244.244.159,2016-05-05T00:13:49.649Z,2016-05-05T00:06:27.827Z,3569102527.0,441.822
106.0,194.171.96.207,194.171.101.188,2016-05-05T00:13:58.326Z,2016-05-05T00:13:48.852Z,4200070102.0,9.474
107.0,194.171.96.209,194.171.101.195,2016-05-05T00:14:15.179Z,2016-05-05T00:14:06.307Z,4138220112.0,8.872
108.0,194.171.96.205,194.171.101.188,2016-05-05T00:14:18.797Z,2016-05-05T00:14:13.340Z,2668302310.0,5.457
109.0,194.171.96.217,194.171.100.15,2016-05-05T00:14:11.344Z,2016-05-05T00:14:11.062Z,11920080.0,0.282
110.0,194.171.96.176,192.41.230.21,2016-05-05T00:14:21.768Z,2016-05-05T00:11:39.099Z,3646565733.0,162.669
111.0,194.171.96.216,192.41.236.66,2016-05-05T00:14:33.911Z,2016-05-05T00:06:12.234Z,3651594086.0,501.677
112.0,194.171.96.209,193.48.99.23,2016-05-05T00:14:42.225Z,2016-05-05T00:14:35.826Z,709279500.0,6.399
113.0,194.171.96.177,193.48.99.59,2016-05-05T00:14:47.906Z,2016-05-05T00:14:41.687Z,710020907.0,6.219
114.0,194.171.96.188,134.158.72.174,2016-05-05T00:14:48.132Z,2016-05-05T00:13:37.484Z,1113332638.0,70.648
115.0,194.171.96.178,193.48.99.192,2016-05-05T00:14:52.840Z,2016-05-05T00:14:46.287Z,705701204.0,6.553
116.0,194.171.96.202,192.108.46.34,2016-05-05T00:14:54.142Z,2016-05-05T00:14:33.913Z,3786625397.0,20.229
117.0,194.171.96.188,194.171.101.165,2016-05-05T00:15:10.999Z,2016-05-05T00:15:10.733Z,11413745.0,0.266
118.0,194.171.96.185,193.48.99.189,2016-05-05T00:15:17.107Z,2016-05-05T00:15:01.764Z,711451348.0,15.343
119.0,194.171.96.210,192.41.236.56,2016-05-05T00:16:05.739Z,2016-05-05T00:06:12.534Z,3628394375.0,593.205
120.0,194.171.96.191,192.41.236.66,2016-05-05T00:16:07.344Z,2016-05-05T00:06:12.562Z,3625596323.0,594.782
121.0,194.171.96.207,192.41.230.29,2016-05-05T00:16:06.984Z,2016-05-05T00:11:28.894Z,3643704083.0,278.09
122.0,194.171.96.176,192.41.236.63,2016-05-05T00:16:36.189Z,2016-05-05T00:08:17.490Z,3629170258.0,498.699
123.0,194.171.96.177,194.171.101.149,2016-05-05T00:16:37.570Z,2016-05-05T00:11:39.073Z,705090606.0,298.497
124.0,194.171.96.203,192.5.207.193,2016-05-05T00:16:42.458Z,2016-05-04T23:46:14.313Z,4419301634.0,1828.145
125.0,194.171.96.176,131.154.130.109,2016-05-05T00:16:55.217Z,2016-05-05T00:16:51.957Z,1698858323.0,3.26
126.0,194.171.96.205,194.171.101.154,2016-05-05T00:16:52.597Z,2016-05-05T00:16:52.319Z,11759322.0,0.278
127.0,194.171.96.204,194.171.100.15,2016-05-05T00:16:59.307Z,2016-05-05T00:16:53.861Z,2652921474.0,5.446
128.0,194.171.96.185,150.244.244.140,2016-05-05T00:16:52.279Z,2016-05-05T00:11:43.072Z,3626092845.0,309.207
129.0,194.171.96.177,194.171.101.132,2016-05-05T00:16:52.567Z,2016-05-05T00:16:32.692Z,4213218619.0,19.875
130.0,194.171.96.175,142.150.19.26,2016-05-05T00:17:24.476Z,2016-05-05T00:16:07.325Z,1621622376.0,77.151
131.0,194.171.96.208,142.150.19.26,2016-05-05T00:18:04.300Z,2016-05-05T00:17:28.041Z,1615971272.0,36.259
132.0,194.171.96.179,134.79.128.10,2016-05-05T00:17:59.037Z,2016-05-05T00:01:49.281Z,3646047068.0,969.756
133.0,194.171.96.175,192.108.47.166,2016-05-05T00:18:32.522Z,2016-05-05T00:18:13.655Z,816534715.0,18.867
135.0,194.171.96.180,142.150.19.26,2016-05-05T00:18:28.444Z,2016-05-05T00:16:07.147Z,1577355206.0,141.297
136.0,194.171.96.180,150.244.246.12,2016-05-05T00:18:33.574Z,2016-05-05T00:13:14.826Z,3584073654.0,318.748
138.0,194.171.96.186,194.171.101.165,2016-05-05T00:18:39.342Z,2016-05-05T00:18:36.492Z,1446628122.0,2.85
139.0,194.171.96.177,194.171.101.165,2016-05-05T00:18:55.512Z,2016-05-05T00:18:53.571Z,1415569893.0,1.941
140.0,194.171.96.206,192.170.227.104,2016-05-05T00:19:13.760Z,2016-05-05T00:18:46.793Z,714295657.0,26.967
141.0,194.171.96.187,192.108.46.33,2016-05-05T00:19:08.000Z,2016-05-05T00:18:53.903Z,878147908.0,14.097
142.0,194.171.96.207,194.171.100.15,2016-05-05T00:19:08.672Z,2016-05-05T00:18:58.549Z,4174039643.0,10.123
143.0,194.171.96.178,206.12.1.35,2016-05-05T00:19:08.568Z,2016-05-05T00:18:51.269Z,698226693.0,17.299
144.0,194.171.96.181,192.108.47.157,2016-05-05T00:19:21.551Z,2016-05-05T00:18:57.497Z,869092550.0,24.054
145.0,194.171.96.202,192.108.47.166,2016-05-05T00:19:18.156Z,2016-05-05T00:18:55.186Z,860084193.0,22.97
146.0,194.171.96.190,194.171.101.190,2016-05-05T00:19:25.175Z,2016-05-05T00:19:24.912Z,12382350.0,0.263
147.0,194.171.96.207,194.171.100.27,2016-05-05T00:19:28.792Z,2016-05-05T00:19:22.172Z,2675165028.0,6.62
148.0,194.171.96.208,192.108.46.90,2016-05-05T00:19:29.063Z,2016-05-05T00:18:55.226Z,864215115.0,33.837
149.0,194.171.96.205,194.171.100.15,2016-05-05T00:19:42.117Z,2016-05-05T00:19:33.747Z,2702533240.0,8.37
150.0,194.171.96.217,192.108.47.154,2016-05-05T00:19:42.278Z,2016-05-05T00:19:30.523Z,867904605.0,11.755
151.0,194.171.96.179,194.171.101.195,2016-05-05T00:19:57.312Z,2016-05-05T00:19:57.052Z,12212955.0,0.26
153.0,194.171.96.203,192.108.46.78,2016-05-05T00:20:04.449Z,2016-05-05T00:19:30.926Z,860621833.0,33.523
155.0,194.171.96.205,192.108.47.155,2016-05-05T00:20:10.789Z,2016-05-05T00:18:55.407Z,874383390.0,75.382
156.0,194.171.96.184,194.171.101.154,2016-05-05T00:20:18.126Z,2016-05-05T00:20:02.113Z,4163186394.0,16.013
157.0,194.171.96.184,194.171.101.154,2016-05-05T00:20:32.978Z,2016-05-05T00:20:29.627Z,1419871295.0,3.351
158.0,194.171.96.207,194.171.101.154,2016-05-05T00:20:45.381Z,2016-05-05T00:20:39.788Z,4119731430.0,5.593
159.0,194.171.96.203,194.171.101.170,2016-05-05T00:20:48.471Z,2016-05-05T00:20:36.820Z,4121178679.0,11.651
160.0,194.171.96.210,194.171.101.149,2016-05-05T00:21:07.151Z,2016-05-05T00:20:59.603Z,4169965938.0,7.548
162.0,194.171.96.205,194.171.101.149,2016-05-05T00:21:35.444Z,2016-05-05T00:21:28.618Z,2682494603.0,6.826
163.0,194.171.96.210,194.171.101.195,2016-05-05T00:21:55.649Z,2016-05-05T00:21:46.500Z,4188662056.0,9.149
164.0,194.171.96.176,134.158.72.193,2016-05-05T00:22:00.026Z,2016-05-05T00:20:13.746Z,1113442678.0,106.28
165.0,194.171.96.188,194.171.100.157,2016-05-05T00:23:29.985Z,2016-05-05T00:23:29.494Z,371314975.0,0.491
166.0,194.171.96.208,194.171.101.190,2016-05-05T00:23:29.560Z,2016-05-05T00:23:22.468Z,2666484498.0,7.092
167.0,194.171.96.210,194.171.101.195,2016-05-05T00:23:25.431Z,2016-05-05T00:23:15.315Z,4212208230.0,10.116
168.0,194.171.96.204,150.214.37.139,2016-05-05T00:23:41.303Z,2016-05-05T00:23:41.285Z,420561.0,0.018
169.0,194.171.96.204,194.171.100.211,2016-05-05T00:23:44.626Z,2016-05-05T00:23:44.626Z,5672.0,0.0
